Story_body,Question,Answer,Story_flow,Story_type,Question_type
Alexander dislikes the persimmon. Owen entered the closet. Lucas entered the closet. Alexander entered the closet. The orange is in the treasure_chest. The treasure_chest is in the closet. Alexander dislikes the t-shirt. Alexander exited the closet. Lucas moved the orange to the bucket. The bucket is in the closet. Lucas exited the closet. Alexander entered the closet.,Where does Alexander think that Lucas searches for the orange?,treasure_chest,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_1_tom,second_order_false_belief
Jack entered the bedroom. Carter entered the bedroom. The underclothes is in the bucket. The bucket is in the bedroom. William entered the attic. William exited the attic. Carter moved the underclothes to the basket. The basket is in the bedroom. Jack exited the bedroom. Carter exited the bedroom. Jack entered the attic.,Where does Carter think that Jack searches for the underclothes?,basket,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",second_order_1_no_tom,second_order_false_belief
Amelia entered the porch. Ava entered the porch. The potato is in the bottle. The bottle is in the porch. Ava moved the potato to the crate. The crate is in the porch. Amelia exited the porch. Lucas dislikes the onion.,Where will Ava look for the potato?,crate,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Lucas entered the back_yard. Emily entered the back_yard. The melon is in the cupboard. The cupboard is in the back_yard. Lucas moved the melon to the bathtub. The bathtub is in the back_yard. Evelyn entered the back_yard. Emily exited the back_yard. Lucas exited the back_yard. Lucas hates the cherry. Emily entered the laundry.,Where will Lucas look for the melon?,bathtub,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters', 'agent_0_exits', 'agent_1_reenters_alt_loc']",first_order_0_no_tom,second_order_false_belief
Emily entered the workshop. Liam dislikes the cherry. Mila entered the workshop. The jeans is in the envelope. The envelope is in the workshop. Emily exited the workshop. Mila moved the jeans to the container. The container is in the workshop.,Where will Emily look for the jeans?,envelope,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj']",first_order_0_tom,false_belief
James entered the porch. Jacob entered the front_yard. Mason entered the front_yard. Jacob dislikes the beans. The lemon is in the cupboard. The cupboard is in the front_yard. Mason moved the lemon to the bathtub. The bathtub is in the front_yard. Jacob exited the front_yard. James likes the cap. Jacob entered the porch.,Where does Jacob think that Mason searches for the lemon?,bathtub,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_alt_loc']",second_order_0_no_tom,true_belief
Alexander loves the peas. Ava entered the cellar. Alexander entered the cellar. Charlotte entered the cellar. The potato is in the drawer. The drawer is in the cellar. Ava moved the potato to the basket. The basket is in the cellar. Charlotte exited the cellar.,Where does Ava think that Charlotte searches for the potato?,basket,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",second_order_0_no_tom,true_belief
Oliver entered the living_room. Aiden entered the living_room. Olivia entered the living_room. The socks is in the envelope. The envelope is in the living_room. Olivia exited the living_room. Aiden moved the socks to the bucket. The bucket is in the living_room.,Where was the socks at the beginning?,envelope,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj']",memory,false_belief
Oliver likes the jacket. Logan entered the sunroom. Oliver entered the sunroom. The skirt is in the container. The container is in the sunroom. Oliver exited the sunroom. Jayden entered the sunroom. Logan likes the beans. Jayden exited the sunroom. Logan moved the skirt to the cupboard. The cupboard is in the sunroom. Logan exited the sunroom. Oliver entered the sunroom.,Where is the skirt really?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_0_exits', 'agent_1_reenters_loc']",reality,second_order_false_belief
Mason entered the lounge. Benjamin entered the lounge. Benjamin likes the orange. James entered the lounge. The potato is in the envelope. The envelope is in the lounge. Benjamin exited the lounge. James moved the potato to the treasure_chest. The treasure_chest is in the lounge.,Where was the potato at the beginning?,envelope,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj']",memory,false_belief
Olivia entered the study. Evelyn entered the study. The pants is in the drawer. The drawer is in the study. Aiden entered the study. Aiden exited the study. Olivia moved the pants to the bathtub. The bathtub is in the study. Evelyn exited the study. Evelyn entered the study.,Where was the pants at the beginning?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_1_exits', 'agent_1_reenters_loc']",memory,true_belief
Hannah entered the patio. Elizabeth entered the workshop. Mason entered the workshop. The stockings is in the container. The container is in the workshop. Mason exited the workshop. Mason entered the workshop. Elizabeth moved the stockings to the envelope. The envelope is in the workshop.,Where does Elizabeth think that Mason searches for the stockings?,envelope,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",second_order_0_no_tom,true_belief
Ella entered the den. Nathan entered the den. Jack entered the den. Ella loves the turnip. The celery is in the basket. The basket is in the den. Jack moved the celery to the suitcase. The suitcase is in the den. Ella exited the den. Ella entered the den.,Where will Ella look for the celery?,suitcase,"['enter_agent_1', 'agent_2_enters', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_loc']",first_order_0_no_tom,true_belief
Ethan entered the bathroom. Emma is in the bathroom. Ella entered the office. The beans is in the crate. The crate is in the bathroom. Ethan exited the bathroom. Ella hates the grapefruit. Emma moved the beans to the container. The container is in the bathroom. Emma likes the peas.,Where is the beans really?,container,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_1_exits', 'agent_0_moves_obj']",reality,false_belief
Jayden entered the playroom. Isla is in the playroom. The green_pepper is in the container. The container is in the playroom. Olivia entered the playroom. Olivia exited the playroom. Jayden likes the cabbage. Jayden moved the green_pepper to the cupboard. The cupboard is in the playroom. Isla exited the playroom. Olivia dislikes the plum. Jayden exited the playroom. Isla entered the playroom.,Where will Isla look for the green_pepper?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_enters', 'agent_2_exits', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,second_order_false_belief
Isabella entered the sunroom. Emily entered the sunroom. Ella entered the sunroom. The raincoat is in the crate. The crate is in the sunroom. Ella loves the cherry. Emily moved the raincoat to the bathtub. The bathtub is in the sunroom. Ella exited the sunroom. Isabella exited the sunroom. Isabella entered the sunroom.,Where will Emily look for the raincoat?,bathtub,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,true_belief
Lily entered the back_yard. Aria entered the back_yard. Lily dislikes the underclothes. The stockings is in the cupboard. The cupboard is in the back_yard. Lily moved the stockings to the suitcase. The suitcase is in the back_yard. Aria exited the back_yard. Lily exited the back_yard. Aria entered the living_room.,Where will Lily look for the stockings?,suitcase,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",first_order_0_no_tom,second_order_false_belief
Abigail entered the hall. Emma entered the hall. The scarf is in the bucket. The bucket is in the hall. Emma moved the scarf to the container. The container is in the hall. Aiden entered the back_yard. Aiden exited the back_yard. Abigail exited the hall.,Where will Emma look for the scarf?,container,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters', 'agent_2_exits']",first_order_1_no_tom,true_belief
Chloe entered the workshop. Noah hates the apple. Aria entered the workshop. The tie is in the pantry. The pantry is in the workshop. Aria exited the workshop. Chloe moved the tie to the drawer. The drawer is in the workshop. Chloe exited the workshop. Aria entered the attic.,Where does Aria think that Chloe searches for the tie?,pantry,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_alt_loc']",second_order_1_tom,second_order_false_belief
Noah entered the pantry. William entered the pantry. Jackson entered the pantry. The tie is in the treasure_chest. The treasure_chest is in the pantry. Noah exited the pantry. William moved the tie to the envelope. The envelope is in the pantry. Jackson exited the pantry. William exited the pantry. Jackson entered the pantry.,Where does Jackson think that William searches for the tie?,envelope,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_exits', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_1_no_tom,second_order_false_belief
Jackson entered the den. Logan entered the den. The pants is in the pantry. The pantry is in the den. Jackson exited the den. Jayden entered the den. Logan moved the pants to the bathtub. The bathtub is in the den.,Where will Jackson look for the pants?,pantry,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_enters']",first_order_0_tom,false_belief
Jayden likes the pajamas. Abigail entered the hallway. Abigail exited the hallway. Jayden entered the hallway. Hannah entered the hallway. The sweater is in the treasure_chest. The treasure_chest is in the hallway. Hannah exited the hallway. Hannah entered the hallway. Jayden moved the sweater to the bottle. The bottle is in the hallway. Hannah likes the carrot.,Where was the sweater at the beginning?,treasure_chest,"['agent_2_enters', 'agent_2_exits', 'enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",memory,true_belief
Sophia entered the master_bedroom. Avery entered the master_bedroom. The lime is in the cupboard. The cupboard is in the master_bedroom. Avery exited the master_bedroom. Avery entered the workshop. Sophia dislikes the orange. Sophia moved the lime to the bathtub. The bathtub is in the master_bedroom.,Where is the lime really?,bathtub,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_alt_loc', 'agent_0_moves_obj']",reality,true_belief
Emma entered the porch. Ava entered the porch. The boots is in the bucket. The bucket is in the porch. Carter entered the porch. Ava moved the boots to the suitcase. The suitcase is in the porch. Emma exited the porch. Emma entered the porch.,Where will Ava look for the boots?,suitcase,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_enters', 'agent_1_exits', 'agent_1_reenters_loc']",first_order_1_no_tom,true_belief
Elizabeth entered the kitchen. Chloe entered the kitchen. Lily entered the attic. The peas is in the treasure_chest. The treasure_chest is in the kitchen. Chloe exited the kitchen. Elizabeth moved the peas to the envelope. The envelope is in the kitchen.,Where does Chloe think that Elizabeth searches for the peas?,treasure_chest,"['enter_agent_0', 'enter_agent_1', 'agent_2_enters', 'agent_1_exits', 'agent_0_moves_obj']",second_order_1_tom,false_belief
Mia entered the hallway. Hunter entered the hallway. The eggplant is in the cupboard. The cupboard is in the hallway. Mia moved the eggplant to the pantry. The pantry is in the hallway. Aria entered the closet. Hunter exited the hallway. Mia exited the hallway. Hunter entered the hallway.,Where does Hunter think that Mia searches for the eggplant?,pantry,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_2_enters', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_1_no_tom,second_order_false_belief
Jayden entered the garage. Ella entered the garden. Ella exited the garden. Owen entered the garage. The grapefruit is in the bathtub. The bathtub is in the garage. Jayden moved the grapefruit to the basket. The basket is in the garage. Owen exited the garage. Jayden exited the garage. Owen entered the garden. Jayden loves the radish.,Where will Jayden look for the grapefruit?,basket,"['enter_agent_0', 'agent_2_enters', 'agent_2_exits', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",first_order_0_no_tom,second_order_false_belief
Liam likes the underclothes. Jackson entered the staircase. Abigail loves the celery. Abigail entered the staircase. The stockings is in the bottle. The bottle is in the staircase. Jackson moved the stockings to the bucket. The bucket is in the staircase. Abigail exited the staircase. Jackson exited the staircase. Abigail entered the garage.,Where is the stockings really?,bucket,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",reality,second_order_false_belief
Mia entered the patio. Carter entered the dining_room. Avery entered the patio. Mia dislikes the turnip. The asparagus is in the bathtub. The bathtub is in the patio. Carter exited the dining_room. Avery moved the asparagus to the container. The container is in the patio. Mia exited the patio. Avery exited the patio. Mia entered the patio.,Where will Mia look for the asparagus?,container,"['enter_agent_1', 'agent_2_enters', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_exits', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_0_no_tom,second_order_false_belief
Lucas entered the cellar. Lucas dislikes the shoes. Charlotte entered the cellar. Aria is in the cellar. Lucas exited the cellar. The melon is in the basket. The basket is in the cellar. Aria exited the cellar. Aria entered the cellar. Charlotte moved the melon to the treasure_chest. The treasure_chest is in the cellar.,Where does Aria think that Charlotte searches for the melon?,treasure_chest,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_2_exits', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",second_order_1_no_tom,true_belief
Logan entered the back_yard. Ethan entered the back_yard. William likes the orange. William entered the back_yard. Logan likes the slacks. The pajamas is in the box. The box is in the back_yard. Logan moved the pajamas to the cupboard. The cupboard is in the back_yard. Ethan exited the back_yard.,Where does Logan think that Ethan searches for the pajamas?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits']",second_order_0_no_tom,true_belief
Hunter entered the bedroom. Avery entered the lounge. Avery exited the lounge. Hunter loves the celery. Aiden entered the bedroom. The lime is in the envelope. The envelope is in the bedroom. Aiden exited the bedroom. Aiden loves the lime. Hunter moved the lime to the bottle. The bottle is in the bedroom.,Where does Aiden think that Hunter searches for the lime?,envelope,"['enter_agent_0', 'agent_2_enters', 'agent_2_exits', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj']",second_order_1_tom,false_belief
Elizabeth entered the playroom. Mila entered the playroom. Ava entered the playroom. The radish is in the envelope. The envelope is in the playroom. Ava moved the radish to the bucket. The bucket is in the playroom. Mila exited the playroom. Mila entered the playroom.,Where does Mila think that Ava searches for the radish?,bucket,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_loc']",second_order_0_no_tom,true_belief
Charlotte entered the back_yard. Elizabeth entered the back_yard. Olivia entered the back_yard. The t-shirt is in the pantry. The pantry is in the back_yard. Olivia moved the t-shirt to the bottle. The bottle is in the back_yard. Charlotte exited the back_yard. Olivia likes the pajamas.,Where is the t-shirt really?,bottle,"['enter_agent_1', 'agent_2_enters', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",reality,true_belief
Ethan entered the study. Lily entered the study. The green_pepper is in the bathtub. The bathtub is in the study. Lily dislikes the trousers. Lily moved the green_pepper to the envelope. The envelope is in the study. Ethan exited the study. Lily exited the study. Ethan entered the study.,Where will Ethan look for the green_pepper?,envelope,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",first_order_0_no_tom,second_order_false_belief
Lily entered the patio. Hannah entered the patio. The gloves is in the bathtub. The bathtub is in the patio. Emma entered the attic. Hannah moved the gloves to the basket. The basket is in the patio. Lily exited the patio.,Where was the gloves at the beginning?,bathtub,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_2_enters', 'agent_1_exits']",memory,true_belief
Isla entered the workshop. Isla hates the radish. Mila entered the workshop. The watermelon is in the bathtub. The bathtub is in the workshop. Mila moved the watermelon to the container. The container is in the workshop. Elizabeth likes the peach. Isla exited the workshop.,Where will Isla look for the watermelon?,container,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_0_no_tom,true_belief
Charlotte entered the laundry. Jackson entered the laundry. Charlotte dislikes the raincoat. The pumpkin is in the envelope. The envelope is in the laundry. Jackson exited the laundry. Jackson entered the laundry. Charlotte moved the pumpkin to the pantry. The pantry is in the laundry.,Where will Charlotte look for the pumpkin?,pantry,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",first_order_0_no_tom,true_belief
Emily entered the cellar. Ella entered the cellar. The raincoat is in the bucket. The bucket is in the cellar. Emily moved the raincoat to the drawer. The drawer is in the cellar. Emily dislikes the suit. Ella exited the cellar.,Where was the raincoat at the beginning?,bucket,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",memory,true_belief
Emma entered the study. Emma dislikes the dress. Benjamin entered the study. Lily entered the laundry. The lettuce is in the drawer. The drawer is in the study. Emma exited the study. Benjamin moved the lettuce to the box. The box is in the study. Benjamin exited the study. Emma entered the study.,Where does Benjamin think that Emma searches for the lettuce?,drawer,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_1_exits', 'agent_0_moves_obj', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_1_tom,second_order_false_belief
Logan entered the attic. Isla loves the persimmon. Isla entered the attic. Ethan entered the attic. The tangerine is in the treasure_chest. The treasure_chest is in the attic. Logan hates the underclothes. Isla moved the tangerine to the container. The container is in the attic. Logan exited the attic.,Where was the tangerine at the beginning?,treasure_chest,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits']",memory,true_belief
Charlotte entered the kitchen. Avery entered the kitchen. The stockings is in the bucket. The bucket is in the kitchen. Charlotte moved the stockings to the cupboard. The cupboard is in the kitchen. Avery exited the kitchen.,Where will Avery look for the stockings?,cupboard,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Sophia entered the garage. Lucas entered the garage. The apple is in the treasure_chest. The treasure_chest is in the garage. Lucas exited the garage. William entered the attic. Sophia moved the apple to the drawer. The drawer is in the garage. Sophia exited the garage. Lucas entered the garage.,Where was the apple at the beginning?,treasure_chest,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_enters', 'agent_0_exits', 'agent_1_reenters_loc']",memory,second_order_false_belief
Logan entered the hall. Sophia dislikes the apple. Sophia entered the hall. The pear is in the basket. The basket is in the hall. Sophia likes the scarf. Sophia moved the pear to the pantry. The pantry is in the hall. Logan exited the hall.,Where will Logan look for the pear?,pantry,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_0_no_tom,true_belief
James entered the hallway. Aiden entered the hallway. The skirt is in the crate. The crate is in the hallway. Olivia entered the bedroom. Olivia dislikes the sweet_potato. James exited the hallway. Olivia exited the bedroom. Aiden moved the skirt to the drawer. The drawer is in the hallway.,Where is the skirt really?,drawer,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_2_enters', 'agent_0_moves_obj', 'agent_2_exits']",reality,false_belief
Mason entered the study. Jayden entered the study. The gloves is in the bucket. The bucket is in the study. Jayden moved the gloves to the container. The container is in the study. Mason exited the study. Jayden exited the study. Mason entered the back_yard.,Where will Mason look for the gloves?,container,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",first_order_0_no_tom,second_order_false_belief
Logan entered the porch. Ella entered the porch. Logan loves the cherry. The tomato is in the bathtub. The bathtub is in the porch. Logan moved the tomato to the suitcase. The suitcase is in the porch. Ella exited the porch. Ella entered the workshop.,Where will Logan look for the tomato?,suitcase,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_alt_loc']",first_order_0_no_tom,true_belief
Lily entered the hall. Aria entered the hall. Charlotte likes the cucumber. Charlotte hates the dress. Charlotte entered the hall. The pants is in the basket. The basket is in the hall. Lily moved the pants to the drawer. The drawer is in the hall. Aria exited the hall.,Where will Aria look for the pants?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_2_enters', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Emma entered the office. Chloe entered the office. Oliver entered the crawlspace. The t-shirt is in the pantry. The pantry is in the office. Oliver exited the crawlspace. Chloe moved the t-shirt to the bucket. The bucket is in the office. Emma exited the office.,Where will Chloe look for the t-shirt?,bucket,"['enter_agent_1', 'enter_agent_0', 'agent_2_enters', 'agent_0_moves_obj', 'agent_2_exits', 'agent_1_exits']",first_order_1_no_tom,true_belief
Amelia entered the front_yard. Ella entered the front_yard. The gloves is in the basket. The basket is in the front_yard. Ella moved the gloves to the pantry. The pantry is in the front_yard. Amelia exited the front_yard. Amelia dislikes the celery.,Where will Ella look for the gloves?,pantry,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Jayden entered the closet. Lily dislikes the green_pepper. Lily entered the closet. The t-shirt is in the crate. The crate is in the closet. Evelyn entered the office. Jayden exited the closet. Evelyn exited the office. Lily moved the t-shirt to the bathtub. The bathtub is in the closet.,Where does Lily think that Jayden searches for the t-shirt?,crate,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_2_enters', 'agent_0_moves_obj', 'agent_2_exits']",second_order_1_tom,false_belief
Abigail entered the den. Liam entered the basement. Hannah entered the den. The watermelon is in the basket. The basket is in the den. Hannah exited the den. Hannah entered the basement. Abigail moved the watermelon to the bottle. The bottle is in the den.,Where does Hannah think that Abigail searches for the watermelon?,basket,"['enter_agent_0', 'agent_2_enters', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_alt_loc', 'agent_0_moves_obj']",second_order_1_tom,true_belief
Chloe entered the patio. Mila entered the patio. The pajamas is in the bucket. The bucket is in the patio. Mila exited the patio. Mila entered the patio. Chloe moved the pajamas to the drawer. The drawer is in the patio.,Where is the pajamas really?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_1_reenters_loc', 'agent_0_moves_obj']",reality,true_belief
Amelia entered the front_yard. Alexander entered the front_yard. The lime is in the bucket. The bucket is in the front_yard. Alexander moved the lime to the envelope. The envelope is in the front_yard. Amelia exited the front_yard. Alexander exited the front_yard. Amelia entered the front_yard.,Where was the lime at the beginning?,bucket,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",memory,second_order_false_belief
Ava dislikes the onion. Amelia entered the bedroom. Ava entered the playroom. Amelia exited the bedroom. Sophia entered the playroom. The apple is in the basket. The basket is in the playroom. Ava exited the playroom. Sophia moved the apple to the box. The box is in the playroom.,Where does Ava think that Sophia searches for the apple?,basket,"['agent_2_enters', 'enter_agent_1', 'agent_2_exits', 'enter_agent_0', 'agent_1_exits', 'agent_0_moves_obj']",second_order_0_tom,false_belief
